timestamp,sweep_idx,sweep_candle_time,swept_level,n_liquidity_levels_swept,disp_idx,disp_candle_time,disp_body_ratio,disp_high,disp_open,disp_range_atr,pullback_candles,pullback_end_time,entry_price,sl_price,tp_price,sl_distance_pct,tp_distance_pct,risk_reward,session_hour
2022-02-08 10:00:00+00:00,2691,2022-02-08 07:15:00+00:00,44541.16,14,2700,2022-02-08 09:30:00+00:00,0.7167917754569264,44150.0,43837.21,1.021317121950447,2,2022-02-08 10:00:00+00:00,43837.21,44150.0,43368.024999999994,0.7135262485910961,1.0702893728866443,1.5,10
2022-03-13 15:15:00+00:00,5879,2022-03-13 15:00:00+00:00,38964.2,3,5879,2022-03-13 15:00:00+00:00,0.8017170891250772,39053.3,38817.3,1.2111908888339005,1,2022-03-13 15:15:00+00:00,38817.3,39053.3,38463.3,0.6079763404461412,0.9119645106692118,1.5,15
2022-03-14 17:00:00+00:00,5975,2022-03-14 15:00:00+00:00,39053.3,7,5980,2022-03-14 16:15:00+00:00,0.7830148619957599,39035.0,38799.5,1.0563583352023331,3,2022-03-14 17:00:00+00:00,38799.5,39035.0,38446.25,0.6069665846209359,0.9104498769314037,1.5,17
2022-03-20 13:15:00+00:00,6532,2022-03-20 10:15:00+00:00,40796.6,2,6541,2022-03-20 12:30:00+00:00,0.8231430015159185,41688.0,41512.2,1.315574548907892,3,2022-03-20 13:15:00+00:00,41512.2,41688.0,41248.49999999999,0.42348996198708555,0.6352349429806283,1.5,13
2022-03-30 09:00:00+00:00,7389,2022-03-30 07:00:00+00:00,47126.8,6,7395,2022-03-30 08:30:00+00:00,0.6787790697674653,47506.4,47341.7,1.3995253547730926,2,2022-03-30 09:00:00+00:00,47341.7,47506.4,47094.649999999994,0.34789625214135605,0.5218443782120341,1.5,9
2022-03-30 18:45:00+00:00,7428,2022-03-30 16:45:00+00:00,47219.7,5,7431,2022-03-30 17:30:00+00:00,0.837378640776699,47600.0,47195.1,2.420478388585816,2,2022-03-30 18:45:00+00:00,47195.1,47600.0,46587.75,0.8579280476151157,1.2868920714226735,1.5,18
2022-04-05 13:00:00+00:00,7970,2022-04-05 10:00:00+00:00,46461.1,7,7979,2022-04-05 12:15:00+00:00,0.8454525721727859,47188.0,46733.7,3.647045518801281,3,2022-04-05 13:00:00+00:00,46733.7,47188.0,46052.24999999999,0.9721036425534526,1.4581554638301792,1.5,13
2022-04-08 07:15:00+00:00,8246,2022-04-08 07:00:00+00:00,43585.7,4,8246,2022-04-08 07:00:00+00:00,0.6393063583814524,43624.5,43562.8,1.0155987923515586,1,2022-04-08 07:15:00+00:00,43562.8,43624.5,43470.25000000001,0.14163460567272323,0.21245190850908488,1.5,7
2022-05-13 17:45:00+00:00,11429,2022-05-13 14:45:00+00:00,30796.0,7,11438,2022-05-13 17:00:00+00:00,0.7593350383631751,30293.1,29931.0,1.4225571725571726,3,2022-05-13 17:45:00+00:00,29931.0,30293.1,29387.850000000002,1.2097824997494189,1.8146737496241283,1.5,17
2022-05-18 12:45:00+00:00,11890,2022-05-18 10:00:00+00:00,29980.3,3,11899,2022-05-18 12:15:00+00:00,0.851588170865286,29890.0,29714.4,1.5766621438263089,2,2022-05-18 12:45:00+00:00,29714.4,29890.0,29451.000000000004,0.5909592655412814,0.8864388983119222,1.5,12
2022-06-05 07:45:00+00:00,13601,2022-06-05 07:00:00+00:00,29732.1,3,13602,2022-06-05 07:15:00+00:00,0.9205921938089116,29800.0,29729.6,1.7176354029062166,2,2022-06-05 07:45:00+00:00,29729.6,29800.0,29623.999999999996,0.2368010333136048,0.35520154997040726,1.5,7
2022-06-07 09:15:00+00:00,13798,2022-06-07 08:30:00+00:00,29698.6,2,13798,2022-06-07 08:30:00+00:00,0.6629711751663061,29720.0,29611.0,1.5185185185184997,3,2022-06-07 09:15:00+00:00,29611.0,29720.0,29447.5,0.3681064469285063,0.5521596703927595,1.5,9
2022-07-22 15:30:00+00:00,17764,2022-07-22 13:00:00+00:00,23441.1,9,17771,2022-07-22 14:45:00+00:00,0.9207317073170577,23670.0,23489.7,1.2664727710360189,3,2022-07-22 15:30:00+00:00,23489.7,23670.0,23219.25,0.7675704670557703,1.1513557005836554,1.5,15
2022-08-06 13:15:00+00:00,19194,2022-08-06 10:45:00+00:00,23133.0,6,19203,2022-08-06 13:00:00+00:00,0.7405731523378586,23227.4,23163.6,2.0231037489102603,1,2022-08-06 13:15:00+00:00,23163.6,23227.4,23067.899999999994,0.2754321435355597,0.4131482153033396,1.5,13
2022-08-08 14:45:00+00:00,19398,2022-08-08 13:45:00+00:00,24180.0,14,19401,2022-08-08 14:30:00+00:00,0.6457194899818026,24222.0,24139.0,1.1777505363162617,1,2022-08-08 14:45:00+00:00,24139.0,24222.0,24014.5,0.34384191557231036,0.5157628733584656,1.5,14
2022-08-10 14:00:00+00:00,19587,2022-08-10 13:00:00+00:00,24040.0,11,19588,2022-08-10 13:15:00+00:00,0.7639830508474545,24179.0,23945.3,1.3798864016037433,3,2022-08-10 14:00:00+00:00,23945.3,24179.0,23594.75,0.9759744083390091,1.4639616125085135,1.5,14
2022-08-11 13:15:00+00:00,19673,2022-08-11 10:30:00+00:00,24480.7,10,19682,2022-08-11 12:45:00+00:00,0.9104859335038363,24869.0,24673.6,1.5635532704941413,2,2022-08-11 13:15:00+00:00,24673.6,24869.0,24380.499999999996,0.791939562933668,1.1879093444005018,1.5,13
2022-08-30 11:00:00+00:00,21488,2022-08-30 08:15:00+00:00,20440.0,12,21496,2022-08-30 10:15:00+00:00,0.6189801699716945,20496.6,20444.5,1.129083847384028,3,2022-08-30 11:00:00+00:00,20444.5,20496.6,20366.350000000002,0.2548362640318841,0.38225439604782613,1.5,11
2022-09-16 12:15:00+00:00,23129,2022-09-16 10:45:00+00:00,19810.0,2,23132,2022-09-16 11:30:00+00:00,0.7313432835820642,19878.0,19784.4,1.7739952718676242,3,2022-09-16 12:15:00+00:00,19784.4,19878.0,19644.000000000004,0.47310001819614717,0.7096500272942208,1.5,12
2022-09-30 09:30:00+00:00,24458,2022-09-30 07:15:00+00:00,19537.0,6,24464,2022-09-30 08:45:00+00:00,0.9186991869918711,19625.0,19527.6,1.4452370960973766,3,2022-09-30 09:30:00+00:00,19527.6,19625.0,19381.499999999996,0.4987812122329496,0.7481718183494244,1.5,9
2022-10-06 14:15:00+00:00,25059,2022-10-06 13:30:00+00:00,20290.0,2,25059,2022-10-06 13:30:00+00:00,0.7695004382120858,20293.4,20073.0,2.639021972575578,3,2022-10-06 14:15:00+00:00,20073.0,20293.4,19742.399999999998,1.097992328002797,1.6469884920041957,1.5,14
