timestamp,sweep_idx,sweep_candle_time,swept_level,n_liquidity_levels_swept,disp_idx,disp_candle_time,disp_body_ratio,disp_low,disp_open,disp_range_atr,pullback_candles,pullback_end_time,entry_price,sl_price,tp_price,sl_distance_pct,tp_distance_pct,risk_reward,session_hour
2022-01-11 17:30:00+00:00,419,2022-01-11 09:45:00+00:00,41950.0,2,428,2022-01-11 17:15:00+00:00,0.8018174474959613,42272.69,42953.81,1.822901967658524,1,2022-01-11 17:30:00+00:00,42953.81,42272.69,43975.48999999999,1.5857033404021563,2.3785550106032343,1.5,17
2022-01-23 09:00:00+00:00,1210,2022-01-23 07:15:00+00:00,38850.0,9,1214,2022-01-23 08:15:00+00:00,0.6008582471296962,35418.59,35666.29,1.3217852332426552,3,2022-01-23 09:00:00+00:00,35666.29,35418.59,36037.84000000001,0.6944933156770843,1.0417399735156265,1.5,9
2022-01-24 18:00:00+00:00,1286,2022-01-24 08:30:00+00:00,35084.7,9,1291,2022-01-24 16:30:00+00:00,0.6303185884787079,34020.17,34407.69,1.2031419267103398,3,2022-01-24 18:00:00+00:00,34407.69,34020.17,34988.97000000001,1.1262598564448938,1.6893897846673407,1.5,18
2022-02-12 08:00:00+00:00,3074,2022-02-12 07:00:00+00:00,42046.11,11,3076,2022-02-12 07:30:00+00:00,0.7774767995987277,41926.94,42099.66,1.1714903351732562,2,2022-02-12 08:00:00+00:00,42099.66,41926.94,42358.740000000005,0.41026459596111026,0.6153968939416654,1.5,8
2022-02-26 07:45:00+00:00,4408,2022-02-26 07:00:00+00:00,39053.4,2,4408,2022-02-26 07:00:00+00:00,0.684135977337108,38952.7,39124.0,1.4224311618536036,3,2022-02-26 07:45:00+00:00,39124.0,38952.7,39380.950000000004,0.43783866680299277,0.6567580002044892,1.5,7
2022-03-31 11:45:00+00:00,7491,2022-03-31 09:15:00+00:00,47125.4,5,7500,2022-03-31 11:30:00+00:00,0.8849040867389263,47070.1,47181.2,1.1351095482824027,1,2022-03-31 11:45:00+00:00,47181.2,47070.1,47347.84999999999,0.2354751468805341,0.35321272032080114,1.5,11
2022-04-02 07:45:00+00:00,7674,2022-04-02 07:15:00+00:00,46890.0,2,7674,2022-04-02 07:15:00+00:00,0.7846265409716893,46420.2,46529.7,1.2669641685260522,2,2022-04-02 07:45:00+00:00,46529.7,46420.2,46693.95,0.23533356114481718,0.3530003417172258,1.5,7
2022-04-18 16:45:00+00:00,9233,2022-04-18 13:45:00+00:00,39510.0,10,9242,2022-04-18 16:00:00+00:00,0.7193811774816976,39022.1,39239.2,1.37628321574926,3,2022-04-18 16:45:00+00:00,39239.2,39022.1,39564.84999999999,0.5532732573548863,0.8299098860323295,1.5,16
2022-06-19 14:30:00+00:00,14596,2022-06-19 13:00:00+00:00,20385.0,4,14599,2022-06-19 13:45:00+00:00,0.7457233980863903,19111.0,19430.1,1.2707510921627496,3,2022-06-19 14:30:00+00:00,19430.1,19111.0,19908.749999999996,1.6422972604361201,2.4634458906541803,1.5,14
2022-07-27 18:30:00+00:00,18251,2022-07-27 15:30:00+00:00,21544.5,2,18260,2022-07-27 17:45:00+00:00,0.7057396928051932,21587.2,21699.9,1.1533031433137981,3,2022-07-27 18:30:00+00:00,21699.9,21587.2,21868.950000000004,0.5193572320609806,0.7790358480914708,1.5,18
2022-07-31 14:45:00+00:00,18626,2022-07-31 13:15:00+00:00,23691.1,9,18631,2022-07-31 14:30:00+00:00,0.6293027360988663,23598.4,23777.2,2.928459337210349,1,2022-07-31 14:45:00+00:00,23777.2,23598.4,24045.4,0.7519808892552499,1.1279713338828747,1.5,14
2022-08-23 18:30:00+00:00,20839,2022-08-23 16:15:00+00:00,21355.0,2,20845,2022-08-23 17:45:00+00:00,0.6581967213114993,21380.0,21481.4,1.3569555890998641,3,2022-08-23 18:30:00+00:00,21481.4,21380.0,21633.500000000004,0.47203627324104314,0.7080544098615648,1.5,18
2022-09-21 16:30:00+00:00,23616,2022-09-21 14:45:00+00:00,19223.0,3,23620,2022-09-21 15:45:00+00:00,0.7829727843684668,19155.4,19294.7,1.2657413249211262,3,2022-09-21 16:30:00+00:00,19294.7,19155.4,19503.65,0.7219599164537374,1.082939874680606,1.5,16
